window_id,window_start,window_end,window_center,window_W_seconds,window_stride_seconds,Tde_global_p99_ms_all,Tde_count,Tde_mean_ms,Tde_std_ms,Tde_max_ms,Tde_p95_ms,Tde_p99_ms,Tde_q1_ms,Tde_q3_ms,Tde_iqr_ms,Tde_tail_ratio_p99_mean,Tde_tail_exceed_rate,Tde_winsorized_mean_ms_p95cap,Tis_global_p99_ms_all,Tis_count,Tis_mean_ms,Tis_std_ms,Tis_max_ms,Tis_p95_ms,Tis_p99_ms,Tis_q1_ms,Tis_q3_ms,Tis_iqr_ms,Tis_tail_ratio_p99_mean,Tis_tail_exceed_rate,Tis_winsorized_mean_ms_p95cap,split,Tde_global_p99_ms_train,Tis_global_p99_ms_train
431,2025-05-29 02:34:23.347167,2025-05-29 02:39:23.347167,2025-05-29 02:36:53.347167,300,30,0.14247,38,0.08586842105263158,0.022966686864840845,0.134,0.12329999999999999,0.13067000000000004,0.073,0.10099999999999999,0.027999999999999997,1.5217468587189706,0.0,0.0855421052631579,2331.46382,40,1109.3157500000002,475.40179119430803,2884.022,1497.6479999999958,2884.00679,847.61025,1224.0452500000001,376.4350000000002,2.599806944055378,0.05,1039.9980249999999,test,0.14673,1965.2991199999994
432,2025-05-29 02:34:53.347167,2025-05-29 02:39:53.347167,2025-05-29 02:37:23.347167,300,30,0.14247,40,0.084925,0.023695057907309896,0.134,0.12309999999999999,0.13049,0.073,0.099,0.02600000000000001,1.536532234324404,0.0,0.084605,2331.46382,40,1105.919875,471.8850662842181,2884.022,1497.6479999999958,2884.00679,849.47475,1215.1947499999999,365.7199999999999,2.6077899992528843,0.05,1036.60215,test,0.14673,1965.2991199999994
433,2025-05-29 02:35:23.347167,2025-05-29 02:40:23.347167,2025-05-29 02:37:53.347167,300,30,0.14247,40,0.08315,0.023051280625196045,0.134,0.12309999999999999,0.13049,0.07125,0.09625,0.02500000000000001,1.5693325315694526,0.0,0.08283,2331.46382,40,1100.4581,470.18178111132227,2884.022,1497.6479999999958,2884.00679,849.47475,1171.99375,322.5190000000001,2.6207329384008347,0.05,1031.1403749999997,test,0.14673,1965.2991199999994
434,2025-05-29 02:35:53.347167,2025-05-29 02:40:53.347167,2025-05-29 02:38:23.347167,300,30,0.14247,40,0.083125,0.0231452354292827,0.134,0.12309999999999999,0.13049,0.06675,0.09625,0.0295,1.5698045112781953,0.0,0.082805,2331.46382,40,991.2615249999999,203.13513153475049,1298.41,1239.6173999999996,1298.40298,849.47475,1157.00825,307.5335000000001,1.3098490632933626,0.0,988.3223450000002,test,0.14673,1965.2991199999994
435,2025-05-29 02:36:23.347167,2025-05-29 02:41:23.347167,2025-05-29 02:38:53.347167,300,30,0.14247,40,0.07944999999999999,0.021295178219132505,0.134,0.11539999999999999,0.12971,0.0655,0.093,0.027499999999999997,1.6325991189427314,0.0,0.078795,2331.46382,40,983.036625,195.757247403799,1298.41,1239.6173999999996,1298.40298,870.414,1151.97575,281.5617500000001,1.3208083472983523,0.0,980.0974450000001,test,0.14673,1965.2991199999994
436,2025-05-29 02:36:53.347167,2025-05-29 02:41:53.347167,2025-05-29 02:39:23.347167,300,30,0.14247,40,0.0758,0.020641258160818066,0.134,0.09884999999999995,0.12659,0.0615,0.091,0.0295,1.6700527704485488,0.0,0.07451749999999999,2331.46382,40,1043.486325,248.6771738728838,1762.921,1321.6333499999987,1762.90384,952.12675,1157.00825,204.88150000000007,1.6894364571572127,0.0,1021.4230425,test,0.14673,1965.2991199999994
437,2025-05-29 02:37:23.347167,2025-05-29 02:42:23.347167,2025-05-29 02:39:53.347167,300,30,0.14247,40,0.074875,0.016831270500668294,0.1,0.09705,0.09922,0.063,0.08725,0.024249999999999994,1.3251419031719534,0.0,0.07477750000000001,2331.46382,40,1138.323775,420.57309848138186,2656.048,1807.5760499999974,2656.03786,974.1835,1157.92375,183.74024999999995,2.3332885760029036,0.05,1095.9008274999999,test,0.14673,1965.2991199999994
438,2025-05-29 02:37:53.347167,2025-05-29 02:42:53.347167,2025-05-29 02:40:23.347167,300,30,0.14247,40,0.07457499999999999,0.01729663892057408,0.1,0.09705,0.09922,0.058499999999999996,0.091,0.0325,1.3304726785115657,0.0,0.0744775,2331.46382,40,1147.61875,413.226571801733,2656.048,1807.5760499999974,2656.03786,998.116,1157.92375,159.80774999999994,2.314390436719511,0.05,1105.1958025,test,0.14673,1965.2991199999994
439,2025-05-29 02:38:23.347167,2025-05-29 02:43:23.347167,2025-05-29 02:40:53.347167,300,30,0.14247,40,0.07497499999999999,0.016485405355756034,0.1,0.097,0.09883,0.06225,0.091,0.028749999999999998,1.318172724241414,0.0,0.0749,2331.46382,40,1166.78435,422.04606390708597,2656.048,1807.5760499999974,2656.03786,998.116,1177.52425,179.40824999999995,2.276374258876544,0.05,1124.3614025,test,0.14673,1965.2991199999994
440,2025-05-29 02:38:53.347167,2025-05-29 02:43:53.347167,2025-05-29 02:41:23.347167,300,30,0.14247,40,0.075375,0.016856388121801794,0.102,0.09715,0.10121999999999999,0.06225,0.09125,0.028999999999999998,1.3428855721393034,0.0,0.0751825,2331.46382,40,1154.8083499999998,422.7410057639735,2656.048,1807.5760499999974,2656.03786,970.95075,1157.00825,186.05750000000012,2.2999815164135247,0.05,1112.3854024999998,test,0.14673,1965.2991199999994
